57
1
25

1	3	17.0	31.0	20.0
1	4	31.0	31.0	2.0
2	7	52.0	52.0	13.0
2	9	70.0	70.0	18.0
2	12	105.0	105.0	17.0
2	15	131.0	131.0	6.0
2	22	197.0	209.0	4.0
2	25	226.0	226.0	13.0
3	23	204.0	204.0	18.0
4	6	15.0	15.0	3.0
5	7	17.0	17.0	13.0
5	9	38.0	38.0	12.0
5	15	105.0	105.0	11.0
5	18	128.0	128.0	1.0
6	10	42.0	42.0	18.0
6	11	55.0	55.0	10.0
7	3	34.0	52.0	8.0
7	21	138.0	138.0	17.0
8	12	45.0	45.0	17.0
8	13	49.0	49.0	13.0
8	19	107.0	107.0	3.0
8	20	110.0	126.0	8.0
9	6	15.0	35.0	16.0
10	3	72.0	72.0	3.0
10	9	11.0	11.0	11.0
10	21	114.0	114.0	13.0
11	12	5.0	5.0	12.0
11	24	126.0	126.0	19.0
12	4	82.0	82.0	8.0
12	16	29.0	49.0	12.0
13	14	15.0	15.0	16.0
13	18	47.0	47.0	18.0
14	22	78.0	78.0	11.0
15	7	76.0	76.0	3.0
15	23	67.0	85.0	10.0
16	20	35.0	35.0	11.0
17	5	118.0	118.0	9.0
17	10	69.0	81.0	9.0
17	15	18.0	18.0	4.0
18	2	162.0	162.0	12.0
18	12	46.0	64.0	11.0
18	17	13.0	13.0	4.0
19	10	95.0	95.0	15.0
19	13	60.0	60.0	16.0
19	18	9.0	9.0	16.0
20	22	22.0	22.0	15.0
20	24	36.0	36.0	10.0
21	11	94.0	112.0	9.0
21	12	87.0	103.0	18.0
22	8	144.0	144.0	20.0
22	16	60.0	60.0	10.0
22	17	48.0	48.0	16.0
23	8	148.0	148.0	13.0
23	18	49.0	49.0	5.0
24	8	158.0	158.0	15.0
24	15	92.0	92.0	20.0
24	17	75.0	75.0	5.0
