scene,edge,cost
0,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[21.785681423770683, 66.19543481550534, 19.537025524852076, 77.53982475949144, 48.249789637948034, 11.346039193426563, 238.20381467821872, 312.6817008830038, 1.8918329806583447, 102.67333066383071, 200.58443801401376, 321.78159283147386, 34.84879634175348, 23.57521134684594]]"
1,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[46.506749502236026, 55.02722530673883, 19.70646947583401, 146.61328681447014, 24.98440508257849, 10.841430183974236, 265.55076421564456, 277.8951512245434, 4.131584836910449, 80.08245170601866, 206.30580113537295, 128.3138831939036, 42.65542548898985, 26.77319568407724]]"
2,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[47.935122214866844, 57.35627225383438, 20.217460455527984, 93.92955066773666, 43.24914379888899, 16.179732875391075, 289.613732429136, 204.5498275770653, 3.412183747421036, 74.86994166708773, 167.13021713349036, 166.7959957330251, 32.665553593846404, 53.78025508062285]]"
3,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[26.673753359082443, 36.40153437200054, 22.292546665139493, 124.1082833949509, 61.92222555380388, 11.052554715113022, 306.6018423884497, 236.09735196353074, 2.0594325366268316, 111.51849085139082, 240.87950295993815, 123.5459795290223, 42.52718855913064, 26.857062157357852]]"
4,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[34.74412246903995, 25.957115472835632, 12.479510563562464, 78.99761006201837, 61.17394492641095, 12.66560016546287, 244.13243998294547, 338.7513395825268, 4.9030225511662575, 92.74754074801922, 232.0464925854402, 269.8618826392086, 30.993437050499995, 51.57275269861608]]"
5,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[43.774572201341414, 39.253063485619286, 13.883964875603002, 111.7858838212732, 29.31804827018122, 10.72121568099579, 202.80142492383777, 345.8784504614668, 2.3186314390943994, 74.51087124602532, 213.8300555290484, 399.7603722248409, 46.02419322978041, 24.047523593431215]]"
6,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[39.963514461141145, 67.75989023037941, 11.638845851035905, 104.38935809533675, 52.383796751702576, 9.583100307683543, 317.8785871667732, 215.12273383411514, 1.504440011839737, 88.30316399720064, 142.6596142748962, 341.1894037690073, 33.79078839562124, 34.32141940401932]]"
7,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[48.40197792506804, 31.60771752627553, 17.20366392705528, 31.283958292778845, 23.541874831389073, 12.74470056895258, 249.70878226979545, 269.82883705257836, 2.8227047483046426, 84.03750997508264, 172.81905529112723, 428.75208717751065, 47.48716702900544, 31.41950581493559]]"
8,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[43.86661843729536, 82.73915100502165, 11.99777350899831, 34.687515103145756, 30.454011061921022, 14.54478170176404, 190.93870240951514, 220.087506954154, 1.1284911907738926, 83.96747990388835, 157.87360563471847, 188.76192297251825, 56.797460342777924, 43.01931737451481]]"
9,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[43.530540966691014, 38.032606733873195, 15.159306708822085, 34.49922694954437, 23.510990808727083, 14.526525204040006, 215.6357268186363, 244.95466946014872, 4.175687616899932, 110.4133760997142, 215.29476734166957, 346.70905446058003, 49.99957779921829, 28.922501185281437]]"
10,"[[(12, 4), (12, 5), (28, 13), (7, 13), (11, 7), (9, 11), (3, 15), (3, 25), (13, 14), (16, 6), (14, 25), (26, 9), (22, 26), (24, 17)]]","[[14.9951867122253, 78.80328551216603, 20.98013511607183, 70.75835064281354, 68.14313258849883, 14.378526640166449, 255.28030929366759, 248.50427720066884, 3.6974523303384474, 110.10076212284733, 149.49222991872972, 454.029832330832, 47.019477929697366, 42.20252623345313]]"
