scene,edge,cost
0,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[710.7890970033484, 18.324288002679168, 117.10259627859513, 281.46053738417794, 518.5667947556881, 52.57203613754974, 25.964426172948425, 101.87470720008515, 2.515694026269858, 83.16078466255536, 365.4600989488631, 541.786552396655, 19.887215086330293, 35.51993888558057, 189.46557854085592, 22.205447950073694, 36.00335064498643, 94.81583142467888, 169.65840550338478, 223.12075215739446, 390.5176626436034, 217.75466680755105, 129.96422501913787, 134.08599348672135, 243.11397166928697, 68.48928801548172, 78.2037024495835, 45.37006556729768]]"
1,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[518.4004729506897, 25.03410842350604, 44.30059788960337, 280.0264507097036, 532.1231733430361, 151.0841478357284, 41.85696162914908, 97.56049145563458, 1.0454330451435263, 82.1847201176404, 396.10366292964943, 529.3222935508002, 45.414127738503495, 49.0349233491073, 192.5442385133282, 17.324705658471796, 43.62958675576132, 148.79246776602494, 120.34384517448758, 193.86153261879008, 389.2689546969237, 189.22191972616793, 85.31836567425222, 119.8050297073487, 231.96745433858027, 65.44909107062395, 41.248622610979055, 38.96380709487565]]"
2,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[653.7140707046901, 24.778477141208562, 120.30931553307418, 281.855267973577, 432.0017199037266, 66.46723022018935, 37.92409982068928, 168.43283878304655, 0.4461404091803447, 79.21230095116637, 343.93281450188306, 563.4551120904608, 35.11500636398085, 42.57874442490626, 186.37042632788044, 19.764682698692738, 24.40278979373958, 113.7540507096206, 148.2380434731525, 80.18542561226184, 391.7548691703712, 96.40089383648416, 128.57979723508922, 157.65732397069695, 267.3991297175024, 64.68909366947517, 60.32355352475024, 37.03273943205747]]"
3,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[419.70969417543284, 29.30455201220348, 121.31715924688457, 281.8432137392801, 550.5213987339916, 75.46614393751993, 43.17180362960312, 321.9262686481046, 3.072709242049611, 82.40298367462516, 342.7790050757531, 581.0607394740256, 44.89632598349182, 108.54739941837084, 178.88627705413523, 19.863034670793127, 36.6661133914389, 114.92644081466892, 137.78379444933125, 226.57580764753172, 391.72583329677894, 198.95223984726957, 85.35710960744109, 151.73278678199608, 177.1225401514325, 61.254066779291286, 48.45596962217318, 41.49072039163474]]"
4,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[669.6902539553942, 16.408096198619347, 176.8016414013282, 281.5468249678352, 290.9484396531172, 138.82620629663944, 27.109656222681647, 231.96907049852223, 2.1777383193264095, 80.11162086213953, 368.94889578569166, 574.9100113319531, 47.46726053157204, 42.70335316757144, 171.45052966984036, 18.904649949625757, 40.15291448223755, 129.3025505886727, 128.82820529627395, 157.37123010478604, 399.60855268751305, 220.37463419059566, 125.65679312249341, 145.9190567865865, 299.10091949465453, 69.04042413329186, 37.02892190389756, 45.860561614646414]]"
5,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[734.3137008460563, 9.951024178522312, 37.629872749681105, 282.3021842343944, 554.4467275403211, 39.21130573252336, 28.009801438457018, 367.27105858437784, 3.967426166097707, 80.81905456667037, 348.82338223848313, 577.4263970145958, 56.90161977642319, 80.2799159870387, 186.80905821723297, 15.813276946254033, 21.881219493845663, 106.68119537872684, 162.45644767004546, 94.149343405384, 396.96705256366454, 177.03975507238317, 123.89065341607267, 141.92304357648368, 313.54445300600435, 66.28541151417616, 79.40736205655897, 41.866103253689445]]"
6,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[413.61415849561877, 12.758305960383547, 121.29203116567506, 282.5276686614183, 364.99132132572385, 101.8115862289865, 40.08454839178174, 93.61155583190934, 5.009734023940084, 81.50343129634956, 346.60440870763455, 561.4738622309335, 25.722599299392293, 87.54198449882321, 210.82309407264046, 21.234598002555693, 33.349465817961985, 118.27312257941249, 122.94231795333317, 305.05706730854797, 392.55213998908044, 199.06982762058948, 104.89715006091896, 124.95186802433741, 178.24321230531046, 70.94026654402926, 38.80087978238224, 39.6666059078875]]"
7,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[589.3555302053288, 14.528032342481605, 105.82266846339455, 282.8296423431385, 437.72313294210306, 154.93971894605824, 49.12160039127353, 374.73358509258924, 2.559913604009344, 83.47644772840086, 398.4304031791839, 507.25694942163335, 37.63465637442795, 63.23641772413638, 201.78127565626176, 10.9232394953256, 30.041605392362936, 118.32335230424475, 126.56029678064098, 302.50699186398725, 394.05806584353354, 211.17881391004278, 123.49855032332601, 160.05433474037477, 113.26428372417676, 57.24080522811977, 69.83968592972651, 40.2249400846533]]"
8,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[641.9413383751266, 20.42648074782138, 181.09660694834614, 281.8462983885461, 456.64970910103534, 153.10952237989466, 28.553226416397656, 163.5715924504147, 3.6991687236850197, 83.2415547707538, 423.20417814828096, 593.3642544285639, 48.95109113472365, 105.83716668878694, 197.9838883449739, 5.615542942746951, 31.3463693009854, 127.84166459306951, 156.2205045704188, 260.14207573160024, 393.3421363511404, 178.4358425570922, 66.72035936829018, 137.3257334458396, 308.5776606223014, 61.41461142427591, 57.67866157046863, 42.02420994701792]]"
9,"[[(0, 36), (12, 15), (14, 21), (14, 35), (33, 10), (33, 27), (15, 19), (2, 16), (6, 7), (6, 23), (6, 27), (6, 34), (24, 21), (34, 26), (3, 22), (21, 8), (21, 18), (20, 8), (38, 25), (7, 36), (8, 36), (25, 7), (9, 21), (17, 25), (17, 27), (17, 35), (11, 19), (13, 10)]]","[[537.8779850276616, 9.893094467774853, 130.53736984336678, 281.3456368626919, 318.67192413629033, 157.13277943306883, 47.369413465092286, 22.598357796485647, 1.6036552486337259, 81.56569459117574, 356.02531915613554, 491.07212679474463, 17.782153747244976, 113.87903597947518, 185.9899219708693, 10.391573811359605, 29.41406409558349, 101.32976751231323, 135.43092182956315, 91.96504288388263, 395.77382031673136, 170.74518635394435, 60.537880787051776, 170.87253543380638, 333.9370146027814, 62.941266461190196, 48.83837348740154, 36.24386794462423]]"
