scene,edge,cost
0,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[16.022172286649386, 115.87381333779862, 146.27061033184384, 107.22142547551361, 13.182799834673641, 23.015102093704243, 364.96453754004085, 87.15588327901474, 3.2493132454086275, 147.8503107492731, 317.12420858739256, 3.290139832568201, 223.91656583012394, 111.47099753379526, 41.75343865206656, 366.0813238529668, 59.246767903403175, 110.65705841279299, 83.20969613074706, 90.34511759282603, 20.8154957862303, 1.6154566813998197, 9.941670185457747, 93.06811462918179, 15.099815081122443]]"
1,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[11.04534400807658, 93.14347272727174, 121.03996041429085, 32.22283335285627, 29.172279440234426, 17.633602998008257, 314.46699822835524, 286.20959359741323, 5.851879272990974, 144.86763911301222, 282.45256076767345, 5.802245211498896, 222.92220319612585, 111.53967606455548, 58.50409618504561, 438.9232923543391, 107.5763920061232, 83.13594459918137, 21.309570386562672, 84.80233512630736, 27.317288082949897, 10.58365735527196, 12.738880470561568, 70.59050599983142, 15.911073395226015]]"
2,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[5.296477820007841, 111.28362051808494, 176.86230217840978, 53.01616275160719, 3.812505675477012, 30.892331999550592, 201.31203817997294, 179.50575507601434, 2.1480547772403797, 128.98149982452833, 420.1336046673593, 9.974132067550505, 225.00255349897455, 112.09728637880765, 56.03221530174025, 411.143418085798, 215.22349921152644, 108.45625257792534, 61.41728800330058, 225.47993448725947, 13.308022014625045, 2.456156615087467, 18.102680030170802, 72.30864919813348, 12.155276799851162]]"
3,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[6.908111927232328, 108.00958810570049, 111.23521989874297, 25.729367908920203, 18.27747277495016, 22.46952630753833, 242.22743230486213, 133.04083534373507, 11.145716147211385, 145.5049229197573, 429.25165103916504, 11.223562008096946, 206.7168441413842, 110.97871137765962, 55.58689599323764, 339.73517443221436, 251.63160195838978, 89.51463679900439, 29.49874670719245, 59.01362687553008, 15.51806093625927, 5.519722125542125, 18.50791298581455, 120.82310066773026, 12.210053545987737]]"
4,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[7.225854912002967, 112.25735836396947, 154.0989372951506, 218.9028791220673, 24.258873358014768, 27.296069423486223, 340.30069070361424, 156.0786242076941, 9.143352133627625, 130.13617729413593, 46.857712942199534, 0.7496374388778069, 240.5187953277225, 111.90278214122024, 62.06537649015865, 363.8443726863868, 12.512183046950156, 99.00800870929481, 67.6996909139529, 106.96789408786496, 15.905546184902864, 10.578193954472294, 0.3673034330398446, 71.95818606613638, 14.494329697543911]]"
5,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[17.784757380774575, 124.75377300272406, 159.89774980641158, 74.10037511679585, 27.35640890959118, 27.901241160627933, 345.89649652265837, 226.94547227221395, 6.175066363205701, 143.9617771929752, 181.32366429407455, 7.255665717984797, 215.63516694822823, 110.1724180196013, 58.193194800510256, 368.13774390315683, 256.52906147487295, 67.20538620864554, 68.34586767057041, 191.35651153336883, 20.408096198619347, 1.1783141959759438, 22.621042592459595, 98.68970129964728, 13.388141651232676]]"
6,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[10.047649189212901, 134.73966436219214, 161.66449800087332, 122.38764457417452, 11.595989077638949, 17.942412160969646, 273.55191088567955, 55.06995088078175, 11.799836749245191, 136.4621386479246, 161.14623876281667, 2.1076218446970767, 209.8464576245262, 110.55146216424045, 51.263521723053444, 346.98713929800937, 71.86691685797342, 87.20956074433211, 85.70500230940921, 105.47252449646415, 29.751617644129652, 9.752172963114724, 9.324679442427335, 75.7522257664832, 15.702772152608704]]"
7,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[17.976412723595487, 109.02311914582205, 131.8596695146581, 114.54902180921721, 3.309864837346642, 29.04403908627331, 154.6557776112768, 123.51091086214896, 6.941947361973882, 141.94243169445332, 166.04748704535098, 9.336002942878038, 242.9752495766895, 111.5191402565516, 33.79539768305029, 361.09328579894463, 355.50094166309816, 103.09298327043867, 98.91616492156578, 146.5045449359708, 12.865008790516736, 7.314690436344009, 12.383351293041905, 120.98705169194604, 15.663031982084988]]"
8,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[13.732142979164955, 135.22234159165092, 98.2058249590838, 195.0915021364715, 12.96971613238281, 20.023916787698383, 379.752601763377, 131.79633105817936, 13.833517716822513, 133.03716070500187, 387.55419544025284, 2.9366385950026164, 214.4895807967909, 113.7012051182696, 58.26797489104037, 422.9036742598153, 339.73998901657427, 73.44800565445591, 28.168350965208575, 146.6268628360759, 25.07287033006757, 8.885575044514024, 8.395257116225538, 111.85153499526494, 15.729536621488792]]"
9,"[[(3, 2), (3, 14), (3, 19), (12, 23), (19, 22), (27, 25), (1, 16), (5, 17), (7, 9), (16, 2), (16, 4), (16, 25), (21, 9), (25, 4), (26, 12), (28, 2), (28, 11), (4, 20), (17, 22), (23, 8), (23, 11), (23, 22), (23, 25), (6, 17), (24, 23)]]","[[8.880620943264027, 98.35477204017756, 113.77128063250463, 65.9613785062181, 20.945176885989206, 26.534992018745925, 206.62675274833742, 274.15655957878624, 12.061514721145247, 139.87863182529534, 345.0346335774798, 13.679185238149856, 242.4350285267485, 115.07535578601778, 42.89772996906123, 407.84428631347566, 230.50411928415403, 101.10659591044357, 91.80281130643334, 154.8576129472909, 24.02964214347706, 10.363965253244482, 10.462460170763737, 76.57858550795629, 15.194072591776354]]"
