scene,edge,cost
0,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[18.664413611653682, 71.11689064539173, 148.65569143648793, 37.51559002325148, 38.71263279437382, 0.8983026298634329, 444.1927697203806, 425.59984750530396, 397.4730030411839, 2.5785622806654356, 326.97162107749483, 257.03394057797743, 8.791420871198284, 11.706499157594779, 26.242471466241025, 1137.1806363688881, 278.5121690200167, 132.97775226435903, 42.987922760990664, 126.44125607796657, 22.349926478401176, 313.8481246770905, 43.98201775146367, 37.10786746762958, 8.630893183857776, 19.96408122779404, 71.78120309181416, 234.0267757076594, 14.629413346601169, 51.927521066650456, 264.22684828871485, 39.98356809299463, 16.7294300062631, 183.25020131105435]]"
1,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[13.703830644221155, 72.32157004324483, 156.62892039376146, 34.99826446630981, 39.355143292879816, 1.893011156580116, 450.13426205208225, 428.73066986026936, 162.1585869350897, 2.9796412800746515, 318.1278016262413, 210.94055737317743, 48.44998620195934, 94.02453427353308, 24.630287108970684, 235.0129612789816, 152.31971083757406, 68.31107901453242, 32.752300584619206, 200.51035719805395, 23.60188762887366, 59.66622737917371, 46.063298107923984, 27.61102334491511, 6.027511900223638, 13.007100323924256, 7.433631569593173, 70.18770838737463, 15.254178764266275, 75.48292064674239, 110.78501978586598, 23.42041726198132, 40.74593403410559, 217.0660110509384]]"
2,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[4.893411643093744, 62.90149144215144, 147.1970654353558, 38.86664973043177, 28.567451450125965, 0.2244684859887205, 170.2865394682426, 645.5379250515714, 222.85887656863994, 2.815086035130078, 478.84008637235905, 231.59177731223159, 42.579556505980044, 65.2498334258039, 23.191748400788505, 1157.019954453523, 314.09868878089526, 142.2602667617342, 30.209558559839632, 194.44072725882944, 24.17657639143387, 421.06911467445286, 47.2103862361613, 31.987687432090155, 5.27729674118827, 13.707621909939236, 193.82877027684268, 235.24340289240016, 27.68238826777157, 56.724358167364024, 187.18681000026078, 39.799418831279795, 56.205863211297704, 373.5719602470351]]"
3,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[15.59825766527221, 99.08763073823832, 156.04342523927926, 38.76840650350529, 35.25030317883636, 0.5629603492547124, 465.78500162379487, 533.2076632726648, 368.3646911051887, 2.6276949317077536, 438.39884885979967, 210.79008253938224, 44.28831415362757, 89.03533800229398, 21.345852756685325, 1169.8952689103958, 269.6503555061863, 68.7940965660161, 43.79253511416921, 133.65701317374396, 16.87230932641424, 58.06090620927171, 39.49475645268096, 36.3038489403264, 8.804568773219167, 19.82730383533452, 127.47160791295725, 32.22423648103337, 19.849664926277757, 73.4884974157424, 73.49541951909438, 52.99261128899482, 34.90102850070886, 191.51885793406976]]"
4,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[24.92688280851564, 40.19125371716764, 153.9037110517941, 34.47574876619069, 11.155512267503203, 1.7956412675836688, 412.78678442003263, 368.6402920350739, 338.38732744125787, 3.710390545640244, 286.42110452669533, 236.74058998858777, 17.651768769949022, 53.241162384363356, 34.728725883480905, 1046.944353234704, 378.90249828095716, 53.01410387940703, 57.93776051356372, 202.57516697149362, 18.278479867115088, 607.9395575234066, 31.69524943073749, 35.642869350833166, 4.046254140593529, 23.381659460977122, 182.56687163027215, 82.52601218178964, 7.5443303842334135, 49.50689281953693, 184.19694875794247, 50.83236890103435, 38.90297890948471, 433.6025527316363]]"
5,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[12.263527122086241, 57.68646664639219, 157.34170429545537, 38.93150476901056, 24.715980251494145, 0.8924300650875465, 484.8487942820986, 465.2290636038017, 351.8533911969775, 2.376988546392778, 585.664538387242, 258.12435923594444, 17.792740649891602, 16.337373979697922, 25.097115053521378, 396.99453107335324, 65.95096082292285, 108.84883522641081, 45.20489772275364, 206.4487817641119, 26.440519992795593, 251.39989086105822, 36.82589250194124, 26.948178798287746, 6.4315876315658365, 19.833022321268146, 152.2351833399749, 58.334843886812365, 51.811232165774015, 69.30619489487223, 237.78002642444076, 30.158127239843065, 36.810885919659654, 447.35158210327467]]"
6,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[15.101004135488422, 49.951369263441805, 152.33064461546755, 33.67818120218322, 36.51127714392247, 0.8815168336206356, 513.8822099026335, 637.2407725472685, 269.7410508875855, 3.162423486084384, 253.54346940932737, 220.8741450511082, 26.200803103775662, 134.84527046735028, 33.18876775543526, 117.6837814836882, 183.24953711753147, 83.60871504140877, 31.619201073126593, 175.99238284495385, 15.071884783622803, 590.8158387238166, 36.22047493322127, 23.1935039455536, 4.606901309534154, 9.40050249734811, 91.90826495568845, 95.87766153042999, 4.652333934792179, 92.74890738545409, 227.1420272793991, 58.27317488732735, 46.49889443121296, 420.16329239919355]]"
7,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[12.597484955843752, 75.51329088661026, 146.56073184437142, 38.451497045091514, 44.98771079977357, 1.6402267378105269, 150.77661138339116, 465.5353884027084, 168.12013552509288, 3.1395854022464302, 268.00161116341326, 250.48487016557968, 21.81346439132049, 100.57421248684055, 23.658643748333876, 1168.7946742515403, 182.77152779606286, 133.93085079338618, 53.87940050051269, 205.12775189823117, 12.381938234934447, 534.0904156165999, 41.89440359273691, 31.349756127859482, 7.907381598987821, 9.89424592597773, 167.33786915525414, 135.5567326297008, 57.190518064474375, 81.03894396953373, 138.48392808436705, 37.05790541618684, 24.800351578296734, 191.7481219605178]]"
8,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[14.004554429490002, 94.99573652986956, 140.449354363845, 35.280269049376685, 23.568906880799428, 0.7723570739285024, 265.9000516361611, 367.15174628952377, 319.05209428761566, 3.3052663816966135, 360.14624423646836, 235.615662129272, 28.117337957469935, 76.13975805096248, 21.14592277209247, 1043.8154963354832, 228.05966160174867, 117.18434133952576, 55.050193158555544, 97.03307592689767, 30.460076574947042, 584.0392457771497, 40.83389882927125, 38.68248817557139, 8.757054458040088, 17.992083495074546, 156.26438074395537, 18.3465908798641, 18.96989838742895, 77.82798143337519, 228.83167150392688, 36.14858781760415, 42.198125277937834, 158.47535665448606]]"
9,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[9.441907981721176, 50.83977127328036, 152.168741571348, 33.521575781648764, 26.511742314371716, 0.7979702355049505, 506.60983512610863, 622.4533246228269, 342.73327457568166, 2.7997558920328, 340.98490572947634, 228.9647465707673, 40.338385756580685, 70.2805140736611, 36.963021523548434, 881.4453574699494, 219.24352559122175, 115.89149376455288, 45.56387746412899, 153.11877678195196, 25.078010096142076, 507.7851548155229, 58.556953867849174, 28.02942006794721, 7.799694319624935, 25.410242733188042, 147.61634139638963, 153.8276498125592, 10.181489169234297, 69.21559009314849, 91.94524917548061, 28.50378301152669, 38.34555907730878, 240.70412752822364]]"
10,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[13.625839307969041, 99.98912779005366, 160.29219356221688, 38.22186603669615, 27.47027504010068, 0.6084481078886526, 508.14461204957456, 461.4336446843526, 405.71248527210537, 3.156468626822952, 546.818696876059, 224.22778877093626, 54.76293091497328, 39.79115501479711, 22.059621809643712, 421.2709283610464, 250.08189068087745, 56.63264640624638, 44.92950066926398, 151.00695072880666, 23.584103862543408, 127.60627596387427, 47.917911006079095, 23.92364356883499, 8.249520416222932, 21.996263229807408, 64.29880072903356, 162.26804572292383, 38.74255328360103, 88.69716695097534, 256.0954549140372, 65.38265543904986, 34.928040930999856, 402.4702821954672]]"
11,"[[(20, 15), (20, 16), (24, 4), (24, 14), (24, 26), (27, 14), (1, 29), (8, 35), (8, 38), (31, 35), (2, 21), (17, 36), (21, 7), (26, 20), (3, 6), (37, 1), (37, 7), (37, 21), (37, 26), (9, 20), (9, 22), (35, 15), (5, 10), (5, 12), (10, 4), (12, 35), (12, 39), (18, 25), (18, 27), (28, 32), (11, 35), (19, 23), (33, 39), (23, 39)]]","[[2.086914611936451, 81.3886034465222, 155.00463716045013, 33.2395209801178, 31.647179170047508, 0.3241760758359056, 293.2469508414798, 477.29156363183836, 160.66720808007364, 3.6903011120968157, 134.91634598426967, 243.17674770070724, 28.35851801827791, 128.5368266406565, 21.765692746791583, 531.3352196990988, 275.5770546993603, 70.45309484427082, 28.525245755062066, 130.74250083626342, 7.89250344452352, 191.61928834542772, 39.42441500851356, 30.388126771657745, 4.832415156280273, 24.216155132153837, 105.4530189442984, 208.6183990441723, 38.49177127852846, 54.45089431527219, 161.16249070403288, 44.27412109845946, 44.826884926755646, 109.86768057276673]]"
