scene,edge,cost
0,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[63.72606401915371, 8.024485390081265, 47.6177757530819, 104.85920824301009, 23.243798664134438, 53.44348529322684, 119.1961074387719, 561.7748042978402, 16.144967158410818, 144.01741782548618, 399.45017362768004, 160.51537535192165, 148.16471066866873, 37.892980607629895, 44.55416838673665, 61.46543281347586, 488.4834472949093, 7.167077650966529, 179.51988169667695, 2.7698239158919042, 501.23638122898427, 25.4755410756045, 302.63379738807, 33.776840022931346, 75.66315198005624, 73.24720019675567, 1.7323332029330274, 118.32579125825386, 14.893271020821672]]"
1,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[77.37157469985243, 7.117454520930317, 44.348510613108104, 116.14614673519824, 14.595641921568394, 126.32106541765783, 79.2815785353966, 152.04664224905287, 15.65121747632254, 216.72832862552494, 386.20947769569074, 163.07648670541442, 134.88292316109565, 45.99724255762554, 53.87705781093044, 42.25898896521117, 499.6145854152742, 3.801185372627918, 199.74041898815892, 1.8010326732269402, 356.42076611449636, 13.659146020675841, 192.31330896342666, 27.399165067957494, 44.618055954331, 20.223295876012877, 7.113443183201725, 96.80620237960893, 11.827437400786387]]"
2,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[88.08815095554218, 3.636478307782163, 41.015467584451606, 117.36656801838033, 16.816115312560882, 44.21160840578334, 190.77930904317407, 482.132217321708, 20.205234953091622, 163.94168411521022, 330.1683294550633, 159.51707341204937, 137.97980713578727, 45.7218718613898, 134.8118336157575, 59.16957808812443, 490.83196442983615, 7.62437878581545, 180.11285506493957, 4.846039529273725, 502.875486524397, 7.817666582364065, 82.02370327665969, 41.331985707508146, 89.37092287724288, 36.21966910131641, 9.965515282105068, 103.36056576789898, 13.903987435067732]]"
3,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[74.39809211108212, 6.2116953521320735, 38.79047328285624, 110.8740280000487, 16.47537286053786, 69.27898928353785, 175.619649999182, 646.7531833009793, 4.918090317853366, 109.92188009340529, 370.4795494774433, 162.00542986749804, 170.78069716005962, 35.818258563765156, 72.36491520548172, 46.114799816012834, 428.1861876333976, 8.48104432307386, 176.99112171085224, 6.91075374614804, 521.0229491838265, 27.49552190832647, 228.47929198170604, 42.68601526372508, 50.7924684650546, 57.397648569506366, 0.06063770694226367, 122.27478814731217, 13.359159066214602]]"
4,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[87.80863455551498, 11.689464275009321, 45.65063612838594, 108.50104152053729, 13.914734272365022, 113.03027477225868, 103.2355206564774, 343.54348463308713, 20.7127164048669, 196.23419412512055, 348.642257110074, 161.02434409798664, 131.6863445035242, 38.31060722065979, 84.366747403484, 48.93464980344355, 341.7272826524506, 3.280994354139537, 188.1862702782122, 7.4252895898070985, 234.493723221089, 18.50366855557339, 196.99687765359036, 59.45604335670194, 41.48376612152677, 64.79297976399268, 0.1698567192458844, 97.58683017737911, 14.055495800149044]]"
5,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[69.62519101988408, 4.618789851058786, 42.73618583764023, 110.20420824914629, 19.36669924481481, 119.93345120125053, 173.00878542828332, 316.7038974530412, 6.75770108105111, 207.5942776371123, 367.76055684768045, 162.9160574257786, 158.30176233137547, 42.03404240405692, 130.28051246962536, 57.80034208940147, 422.8222204483607, 3.960138905704754, 180.1584587443643, 6.050375584039474, 478.4881860594869, 24.556285908917143, 253.73932183731498, 31.077053266392774, 51.72010607387081, 40.72438569817589, 4.021964033793895, 118.0080847839526, 12.43900076952603]]"
6,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[97.23499391485996, 5.365761331469751, 43.949359608967896, 103.35376233111738, 14.370655098736972, 72.64973161931374, 186.9381671035305, 472.097932557849, 8.877069411377871, 106.82573711727522, 327.2772175203318, 170.3590865534358, 174.9387531499296, 30.84793057798321, 150.92277442516502, 60.78702982152439, 461.3528856528899, 5.652235574503078, 170.39037332185416, 4.652368325324653, 442.73586634584166, 26.274826276139088, 193.82157411560306, 52.01125337368313, 95.21662164521081, 33.70050865857243, 8.174293704482343, 123.60581067405238, 13.175492340038083]]"
7,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[71.85937293337628, 9.35578715148648, 46.74872013833081, 114.02112070112553, 21.995132015067355, 84.30949721008753, 141.09683981760173, 166.71299756559677, 17.595203256913543, 224.87944886923793, 393.3375154574566, 171.52241827816485, 151.72185278328112, 40.03892786984319, 62.29706687029821, 59.6782823804151, 486.86114348571147, 3.415429055710355, 164.5162131472213, 6.852670515404045, 519.7985480477589, 12.37850138901932, 241.17312853524746, 59.464995833508254, 79.28333191687878, 68.46909218758181, 9.401029484213764, 115.85967616958173, 16.11427268419671]]"
8,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[85.6725811859589, 4.040154302060751, 47.70401876942029, 101.54979208435401, 27.485135120887765, 73.36956109981193, 108.95170204804293, 337.0399443198062, 26.124289269828147, 196.506450022867, 408.4148499338117, 163.53507587383984, 157.81834047988414, 37.06709161508154, 144.10997241297946, 60.528623991354706, 325.6547398901098, 5.67779534617738, 162.06564839164494, 5.575450175421115, 371.9623616620599, 5.415004903454538, 78.14973483401822, 31.687089060384718, 74.47891293275076, 9.865392248574755, 4.499854788822, 96.45648788611682, 15.794489823243186]]"
9,"[[(11, 2), (11, 10), (11, 19), (21, 15), (21, 20), (21, 29), (25, 2), (25, 5), (25, 29), (1, 10), (1, 23), (5, 14), (5, 16), (7, 9), (18, 13), (18, 23), (2, 25), (22, 13), (3, 26), (4, 1), (4, 25), (8, 9), (26, 2), (28, 22), (6, 10), (6, 25), (16, 14), (16, 28), (17, 18)]]","[[87.30841563176672, 9.76126912553892, 43.19306807610944, 107.94215537408355, 22.47853989707214, 89.43287302978531, 101.87314214686455, 666.1124721674615, 27.302168513099403, 134.5197568908187, 348.2605783965418, 168.18565026656293, 154.03262301936326, 37.68920532553948, 68.05401832334925, 64.4225089544639, 349.6351104304262, 8.697335752761099, 169.1666872570886, 8.987836663351978, 283.5147491844434, 11.878796188813556, 389.6966917126441, 50.308372789856136, 83.20332290393608, 117.24397618422785, 1.0624418299944038, 113.61660581817677, 14.240843121958788]]"
